routine_name,column_name,data_type,precision,is_percentage,percent_determiner,description,short_label,is_emphasized
calculate_response_rates,RR1_Unweighted,NUMERIC,3,Yes,,"Response Rate (unweighted), calculated using the AAPOR RR1 formula",Response Rate (Unweighted),Yes
calculate_response_rates,RR1_Weighted,NUMERIC,3,Yes,,"Response Rate (weighted), calculated using the AAPOR RR1 formula",Response Rate (Weighted),Yes
calculate_response_rates,RR3_Unweighted,NUMERIC,3,Yes,,"Response Rate (unweighted), calculated using the AAPOR RR3 formula",Response Rate (Unweighted),Yes
calculate_response_rates,RR3_Weighted,NUMERIC,3,Yes,,"Response Rate (weighted), calculated using the AAPOR RR3 formula",Response Rate (Weighted),Yes
calculate_response_rates,RR5_Unweighted,NUMERIC,3,Yes,,"Response Rate (unweighted), calculated using the AAPOR RR5 formula",Response Rate (Unweighted),Yes
calculate_response_rates,RR5_Weighted,NUMERIC,3,Yes,,"Response Rate (weighted), calculated using the AAPOR RR5 formula",Response Rate (Weighted),Yes
calculate_response_rates,n,NUMERIC,0,No,,Total sample size ,Total sample size,No
calculate_response_rates,Nhat,NUMERIC,3,No,,Sum of weights for the total sample,Sum of weights for the total sample,No
calculate_response_rates,n_ER,NUMERIC,0,No,,Number of eligible respondents,Number of eligible respondents,No
calculate_response_rates,Nhat_ER,NUMERIC,3,No,,Sum of weights for eligible respondents,Sum of weights for eligible respondents,No
calculate_response_rates,n_EN,NUMERIC,0,No,,Number of eligible nonrespondents,Number of eligible nonrespondents,No
calculate_response_rates,Nhat_EN,NUMERIC,3,No,,Sum of weights for eligible nonrespondents,Sum of weights for eligible nonrespondents,No
calculate_response_rates,n_IE,NUMERIC,0,No,,Number of ineligible cases,Number of ineligible cases,No
calculate_response_rates,Nhat_IE,NUMERIC,3,No,,Sum of weights for ineligible cases,Sum of weights for ineligible cases,No
calculate_response_rates,n_UE,NUMERIC,0,No,,Number of cases whose eligibility is unknown,Number of unknown eligibility cases,No
calculate_response_rates,Nhat_UE,NUMERIC,3,No,,Sum of weights for cases whose eligibility is unknown,Sum of weights for unknown eligibility cases,No
calculate_response_rates,e_unwtd,NUMERIC,3,Yes,,"If RR3 is calculated, the eligibility rate estimate e used for the unweighted response rate.",Estimated eligibility rate for unknown eligibility cases (unweighted),No
calculate_response_rates,e_wtd,NUMERIC,3,Yes,,"If RR3 is calculated, the eligibility rate estimate e used for the weighted response rate",Estimated eligibility rate for unknown eligibility cases (weighted),No
chisq_test_ind_response,auxiliary_variable,TEXT,,No,,The name of the auxiliary variable tested,Auxiliary variable,No
chisq_test_ind_response,statistic,NUMERIC,3,No,,The value of the test statistic,Test statistic,No
chisq_test_ind_response,ndf,NUMERIC,3,No,,Numerator degrees of freedom for the reference distribution,Numerator degrees of freedom,No
chisq_test_ind_response,ddf,NUMERIC,3,No,,Denominator degrees of freedom for the reference distribution,Denominator degrees of freedom,No
chisq_test_ind_response,p_value,NUMERIC,5,No,,The p-value of the test of independence ,p value,Yes
chisq_test_ind_response,test_method,TEXT,,No,,Text giving the name of the statistical test,Name of test,No
chisq_test_ind_response,variance_method,TEXT,,No,,Text describing the method of variance estimation,Method of variance estimation,No
t_test_vs_external_estimate,estimate,NUMERIC,3,Maybe,category,The estimated mean/percent from respondents,Estimate from respondents,Yes
t_test_vs_external_estimate,external_estimate,NUMERIC,3,Maybe,category,An external benchmark estimate,External benchmark estimate,Yes
t_test_vs_external_estimate,difference,NUMERIC,3,Maybe,category,The difference between the estimate from respondents and the benchmark estimates,Difference,Yes
t_test_vs_external_estimate,std_error,NUMERIC,3,Maybe,category,The standard error of the difference between the estimate from respondents and the benchmark estimates,Standard error of the difference,No
t_test_vs_external_estimate,p_value,NUMERIC,5,No,,p-value for the test of the difference between the estimate from the respondent data and the benchmark estimate,p value,Yes
t_test_vs_external_estimate,t_statistic,NUMERIC,3,No,,The t-statistic from the test of the difference,Test statistic,No
t_test_vs_external_estimate,df,NUMERIC,2,No,,The degrees of freedom for the t-test,Degrees of freedom,No
chisq_test_vs_external_estimate,statistic,NUMERIC,3,No,,The value of the test statistic,Test statistic,No
